id,asset,risk_score,emotion_bias,investment_amount,market_event
4534,Real Estate,3,Loss Aversion,321989,Correction
4535,Commodities,64,Calm,57314,Sideways
4536,Gold,50,Confirmation,100758,Sideways
4537,Gold,1,Confirmation,237330,Sideways
4538,Crypto,38,Confirmation,59342,Sideways
4539,Commodities,75,FOMO,77356,Bull Run
4540,Stocks,83,Calm,73597,Bull Run
4541,Stocks,65,Panic,399314,Volatile
4542,Real Estate,72,Herd,178602,Correction
4543,Real Estate,90,Calm,40709,Bull Run
4544,Stocks,53,FOMO,282345,Crash
4545,Commodities,29,Loss Aversion,209387,Sideways
4546,Gold,90,Herd,268421,Bull Run
4547,Gold,79,Calm,188173,Crash
4548,Bonds,81,Loss Aversion,390546,Volatile
4549,Stocks,28,FOMO,124180,Correction
4550,Commodities,62,Panic,463507,Volatile
4551,Bonds,31,Herd,11179,Bull Run
4552,Stocks,30,FOMO,465370,Crash
4553,Bonds,29,Confirmation,145076,Correction
4554,Commodities,5,Loss Aversion,117881,Volatile
4555,Bonds,75,Herd,334368,Volatile
4556,Crypto,11,Panic,26373,Correction
4557,Bonds,44,Panic,118267,Correction
4558,Real Estate,29,Loss Aversion,481449,Volatile
4559,Gold,10,Panic,284979,Volatile
4560,Bonds,8,Calm,307535,Correction
4561,Stocks,7,Loss Aversion,124883,Crash
4562,Real Estate,69,Confirmation,38076,Volatile
4563,Bonds,88,FOMO,457661,Bull Run
4564,Real Estate,74,Confirmation,51673,Crash
4565,Crypto,7,Calm,385059,Volatile
4566,Commodities,38,Loss Aversion,315705,Bull Run
4567,Crypto,43,Herd,388754,Crash
4568,Gold,24,Panic,64894,Bull Run
4569,Bonds,47,Confirmation,361388,Correction
4570,Gold,66,Panic,42657,Bull Run
4571,Stocks,27,FOMO,494405,Volatile
4572,Bonds,92,Herd,377382,Correction
4573,Gold,37,Loss Aversion,356379,Volatile
4574,Bonds,22,Confirmation,397873,Bull Run
4575,Bonds,12,Herd,32594,Bull Run
4576,Bonds,30,FOMO,289178,Volatile
4577,Crypto,55,Calm,168168,Correction
4578,Stocks,34,Confirmation,386701,Volatile
4579,Real Estate,43,Panic,389202,Crash
4580,Real Estate,89,Loss Aversion,296522,Crash
4581,Crypto,91,Herd,171100,Correction
4582,Crypto,6,Panic,246124,Volatile
4583,Bonds,26,Calm,364593,Crash
4584,Bonds,94,Calm,273512,Bull Run
4585,Real Estate,51,FOMO,62079,Crash
4586,Real Estate,73,Panic,160222,Sideways
4587,Stocks,16,Confirmation,392977,Volatile
4588,Commodities,97,Panic,438364,Bull Run
4589,Crypto,46,Loss Aversion,79750,Crash
4590,Bonds,68,Calm,396153,Sideways
4591,Commodities,82,Loss Aversion,412780,Bull Run
4592,Commodities,88,Calm,462064,Sideways
4593,Gold,99,Loss Aversion,59806,Volatile
4594,Bonds,75,Panic,296494,Crash
4595,Commodities,4,Confirmation,497564,Sideways
4596,Commodities,99,Calm,428672,Volatile
4597,Stocks,80,Loss Aversion,88908,Sideways
4598,Gold,98,Herd,70932,Crash
4599,Crypto,42,Panic,247719,Volatile
4600,Bonds,49,Herd,122491,Bull Run
4601,Real Estate,40,Panic,409262,Sideways
4602,Stocks,67,Herd,309212,Volatile
4603,Commodities,100,Calm,419402,Sideways
4604,Bonds,60,Herd,277461,Sideways
4605,Gold,27,Herd,214267,Crash
4606,Gold,27,Confirmation,312112,Bull Run
4607,Commodities,22,Loss Aversion,296824,Crash
4608,Real Estate,42,Loss Aversion,209885,Volatile
4609,Crypto,48,Confirmation,247139,Sideways
4610,Stocks,69,Loss Aversion,290610,Correction
4611,Gold,44,Herd,175369,Sideways
4612,Real Estate,57,Calm,460273,Bull Run
4613,Real Estate,21,Confirmation,19665,Crash
4614,Real Estate,10,FOMO,163758,Crash
4615,Crypto,93,FOMO,362473,Crash
4616,Gold,40,Herd,30272,Crash
4617,Gold,68,Herd,163699,Sideways
4618,Bonds,74,Herd,468616,Volatile
4619,Gold,80,Calm,23793,Crash
4620,Commodities,69,Loss Aversion,451378,Crash
4621,Bonds,32,FOMO,268482,Crash
4622,Crypto,58,Confirmation,201726,Correction
4623,Commodities,81,Calm,450545,Correction
4624,Bonds,74,Loss Aversion,319136,Sideways
4625,Stocks,14,Herd,355969,Sideways
4626,Crypto,25,Confirmation,305808,Sideways
4627,Real Estate,45,Panic,423048,Volatile
4628,Commodities,12,FOMO,461534,Crash
4629,Gold,51,Panic,211973,Bull Run
4630,Commodities,89,Calm,176581,Sideways
4631,Bonds,47,Panic,486179,Correction
4632,Gold,49,Panic,496957,Correction
4633,Gold,81,Herd,238375,Correction
4634,Gold,40,Confirmation,116953,Crash
4635,Commodities,10,Loss Aversion,226431,Sideways
4636,Real Estate,12,FOMO,334586,Sideways
4637,Real Estate,1,FOMO,443036,Volatile
4638,Crypto,51,Panic,81977,Bull Run
4639,Commodities,91,FOMO,416393,Correction
4640,Stocks,85,FOMO,376845,Correction
4641,Crypto,9,Calm,245027,Bull Run
4642,Bonds,73,Herd,376667,Volatile
4643,Real Estate,11,Confirmation,119635,Volatile
4644,Real Estate,8,Herd,185546,Correction
4645,Real Estate,63,FOMO,195049,Sideways
4646,Crypto,82,FOMO,435578,Bull Run
4647,Commodities,74,FOMO,455038,Volatile
4648,Commodities,37,FOMO,273628,Correction
4649,Real Estate,65,Confirmation,88558,Correction
4650,Commodities,23,Panic,151321,Crash
4651,Stocks,26,Herd,444306,Bull Run
4652,Commodities,49,Panic,210094,Volatile
4653,Stocks,78,Herd,139125,Bull Run
4654,Commodities,23,Panic,95463,Crash
4655,Bonds,12,Loss Aversion,335015,Sideways
4656,Real Estate,42,Herd,156184,Correction
4657,Stocks,14,Calm,156374,Correction
4658,Stocks,97,Loss Aversion,157674,Crash
4659,Gold,90,Confirmation,420907,Correction
4660,Commodities,12,Herd,5469,Volatile
4661,Bonds,27,FOMO,30119,Correction
4662,Real Estate,94,Loss Aversion,165796,Crash
4663,Crypto,80,Herd,86216,Sideways
4664,Stocks,86,FOMO,210590,Correction
4665,Stocks,37,Confirmation,20647,Correction
4666,Commodities,4,Panic,115892,Sideways
4667,Bonds,54,FOMO,383556,Sideways
4668,Real Estate,18,Loss Aversion,350680,Bull Run
4669,Stocks,63,Panic,76123,Sideways
4670,Crypto,36,Herd,363648,Crash
4671,Bonds,18,FOMO,249030,Bull Run
4672,Real Estate,86,Confirmation,89120,Volatile
4673,Commodities,38,Confirmation,415303,Volatile
4674,Bonds,91,Loss Aversion,290106,Bull Run
4675,Crypto,93,Confirmation,429426,Volatile
4676,Bonds,4,Loss Aversion,143698,Crash
4677,Real Estate,49,FOMO,383269,Volatile
4678,Crypto,97,Confirmation,409854,Crash
4679,Bonds,6,Panic,153243,Volatile
4680,Crypto,43,Calm,82257,Sideways
4681,Stocks,81,FOMO,121254,Crash
4682,Real Estate,24,Loss Aversion,170116,Bull Run
4683,Stocks,3,Panic,151282,Volatile
4684,Commodities,49,FOMO,262466,Bull Run
4685,Gold,45,FOMO,293895,Crash
4686,Crypto,77,Calm,260454,Crash
4687,Real Estate,41,FOMO,282908,Bull Run
4688,Commodities,93,Calm,233018,Volatile
4689,Crypto,19,Panic,278384,Volatile
4690,Crypto,15,Calm,225061,Correction
4691,Real Estate,56,FOMO,354330,Sideways
4692,Crypto,52,Confirmation,410700,Volatile
4693,Commodities,50,Calm,200925,Crash
4694,Commodities,14,Loss Aversion,201885,Volatile
4695,Gold,77,Confirmation,234358,Crash
4696,Commodities,24,Loss Aversion,499718,Bull Run
4697,Crypto,25,Herd,287379,Bull Run
4698,Real Estate,14,Panic,344326,Sideways
4699,Crypto,95,Panic,441966,Bull Run
4700,Stocks,2,Calm,126457,Crash
4701,Commodities,40,FOMO,380768,Crash
4702,Crypto,42,Herd,255826,Volatile
4703,Real Estate,64,FOMO,67144,Correction
4704,Crypto,46,Loss Aversion,74263,Volatile
4705,Commodities,59,Calm,244869,Crash
4706,Real Estate,30,Herd,314958,Crash
4707,Stocks,50,Herd,163485,Volatile
4708,Commodities,26,Herd,379942,Crash
4709,Stocks,14,Herd,155549,Sideways
4710,Real Estate,27,Herd,204417,Bull Run
4711,Crypto,3,FOMO,7408,Volatile
4712,Real Estate,65,FOMO,444159,Sideways
4713,Bonds,60,Herd,41194,Crash
4714,Real Estate,35,Panic,496584,Crash
4715,Real Estate,1,Loss Aversion,10921,Sideways
4716,Stocks,81,Loss Aversion,129613,Sideways
4717,Commodities,64,Loss Aversion,227048,Sideways
4718,Gold,70,Herd,138878,Crash
4719,Gold,79,Confirmation,141655,Volatile
4720,Bonds,100,Calm,444004,Correction
4721,Stocks,59,FOMO,470090,Sideways
4722,Real Estate,1,Loss Aversion,342425,Sideways
4723,Real Estate,47,FOMO,91117,Volatile
4724,Real Estate,38,Loss Aversion,180821,Volatile
4725,Stocks,79,Herd,322436,Volatile
4726,Real Estate,65,Panic,66203,Crash
4727,Gold,32,Calm,406133,Correction
4728,Real Estate,59,Confirmation,24443,Bull Run
4729,Crypto,36,FOMO,481172,Crash
4730,Commodities,10,Confirmation,219128,Sideways
4731,Crypto,86,Herd,167072,Crash
4732,Crypto,44,Herd,345907,Volatile
4733,Stocks,53,Panic,313338,Crash
4734,Gold,24,FOMO,39395,Crash
4735,Real Estate,38,Herd,340867,Crash
4736,Commodities,68,Loss Aversion,11073,Volatile
4737,Crypto,33,Loss Aversion,363963,Correction
4738,Commodities,41,Confirmation,480444,Crash
4739,Commodities,17,Confirmation,18401,Correction
4740,Bonds,61,Herd,8384,Crash
4741,Crypto,16,Loss Aversion,56267,Bull Run
4742,Real Estate,76,Herd,37871,Crash
4743,Bonds,22,Calm,169560,Volatile
4744,Stocks,12,FOMO,381574,Sideways
4745,Commodities,35,Herd,475903,Bull Run
4746,Real Estate,56,Confirmation,46731,Crash
4747,Bonds,73,Herd,194238,Bull Run
4748,Bonds,20,FOMO,261010,Bull Run
4749,Stocks,92,Confirmation,15158,Bull Run
4750,Commodities,18,FOMO,363967,Volatile
4751,Real Estate,11,Panic,159778,Bull Run
4752,Crypto,32,Loss Aversion,32910,Correction
4753,Gold,72,Herd,25428,Bull Run
4754,Stocks,74,Loss Aversion,362887,Crash
4755,Crypto,5,Panic,249665,Volatile
4756,Gold,20,Loss Aversion,434148,Bull Run
4757,Commodities,7,FOMO,309804,Sideways
4758,Stocks,10,Calm,439682,Bull Run
4759,Gold,55,Panic,190558,Crash
4760,Bonds,48,Loss Aversion,317959,Bull Run
4761,Commodities,87,FOMO,455620,Correction
4762,Real Estate,23,FOMO,268926,Sideways
4763,Bonds,64,Calm,39553,Sideways
4764,Stocks,93,Loss Aversion,452539,Sideways
4765,Bonds,2,FOMO,491433,Bull Run
4766,Stocks,91,Calm,494234,Crash
4767,Commodities,92,FOMO,245776,Bull Run
4768,Crypto,26,Calm,16666,Bull Run
4769,Commodities,37,Loss Aversion,445457,Crash
4770,Real Estate,20,Loss Aversion,59370,Crash
4771,Commodities,93,Panic,283542,Crash
4772,Bonds,35,Confirmation,130727,Sideways
4773,Commodities,75,Calm,120589,Volatile
4774,Crypto,78,FOMO,296046,Crash
4775,Bonds,55,Herd,304142,Bull Run
4776,Stocks,77,FOMO,191934,Bull Run
4777,Gold,94,FOMO,245920,Volatile
4778,Real Estate,79,Loss Aversion,365853,Crash
4779,Commodities,69,Loss Aversion,244207,Correction
4780,Gold,100,Calm,75096,Correction
4781,Real Estate,41,Panic,164957,Crash
4782,Gold,4,Confirmation,490231,Volatile
4783,Crypto,55,Calm,255866,Crash
4784,Stocks,82,Calm,396013,Sideways
4785,Real Estate,14,Loss Aversion,225551,Volatile
4786,Gold,2,Calm,103186,Correction
4787,Stocks,84,Herd,63747,Bull Run
4788,Stocks,81,Panic,33664,Crash
4789,Crypto,95,Herd,238871,Bull Run
4790,Stocks,44,Panic,234537,Bull Run
4791,Bonds,12,FOMO,340272,Correction
4792,Commodities,56,Calm,411300,Bull Run
4793,Bonds,86,FOMO,231245,Crash
4794,Stocks,51,Calm,122219,Bull Run
4795,Stocks,27,Loss Aversion,286493,Crash
4796,Bonds,70,Herd,219711,Bull Run
4797,Bonds,46,Herd,56421,Volatile
4798,Commodities,76,Panic,415915,Sideways
4799,Stocks,74,Herd,268981,Sideways
4800,Crypto,80,Herd,377865,Volatile
4801,Bonds,7,Confirmation,259648,Bull Run
4802,Real Estate,26,Confirmation,97729,Crash
4803,Stocks,5,Herd,45089,Correction
4804,Commodities,57,Loss Aversion,320469,Crash
4805,Gold,14,Herd,461400,Correction
4806,Stocks,51,FOMO,211883,Volatile
4807,Crypto,24,Loss Aversion,362511,Sideways
4808,Gold,58,Herd,247933,Correction
4809,Bonds,28,Panic,485790,Correction
4810,Gold,81,Confirmation,235960,Sideways
4811,Bonds,47,Calm,380762,Sideways
4812,Real Estate,3,Calm,90666,Crash
4813,Crypto,79,Loss Aversion,148475,Correction
4814,Bonds,38,Herd,163732,Correction
4815,Stocks,76,FOMO,295955,Crash
4816,Commodities,62,Loss Aversion,33350,Correction
4817,Gold,27,Loss Aversion,494007,Crash
4818,Bonds,34,Calm,303576,Sideways
4819,Real Estate,20,Confirmation,302529,Correction
4820,Bonds,43,Confirmation,222231,Crash
4821,Gold,35,Calm,15838,Bull Run
4822,Crypto,9,Calm,395951,Bull Run
4823,Real Estate,83,Confirmation,139535,Crash
4824,Gold,52,FOMO,111174,Crash
4825,Commodities,99,Loss Aversion,175114,Bull Run
4826,Real Estate,15,FOMO,404097,Correction
4827,Stocks,19,Calm,34701,Volatile
4828,Crypto,41,Calm,437189,Bull Run
4829,Real Estate,92,Panic,409881,Bull Run
4830,Real Estate,83,FOMO,336069,Correction
4831,Real Estate,50,Calm,167131,Bull Run
4832,Real Estate,98,Calm,393671,Bull Run
4833,Gold,95,Panic,413473,Crash
4834,Commodities,49,Loss Aversion,221868,Sideways
4835,Real Estate,21,Herd,394427,Sideways
4836,Commodities,67,Calm,244378,Sideways
4837,Commodities,43,Herd,243742,Sideways
4838,Crypto,39,Loss Aversion,351685,Bull Run
4839,Bonds,11,FOMO,357831,Volatile
4840,Bonds,82,Confirmation,20564,Bull Run
4841,Bonds,38,Panic,418896,Correction
4842,Stocks,81,Confirmation,329047,Sideways
4843,Real Estate,13,Herd,438492,Correction
4844,Gold,44,Herd,9477,Correction
4845,Real Estate,74,FOMO,58530,Bull Run
4846,Real Estate,82,Panic,39714,Volatile
4847,Stocks,100,Loss Aversion,245303,Crash
4848,Bonds,59,Panic,296823,Crash
4849,Bonds,91,Calm,24668,Sideways
4850,Gold,92,Confirmation,273300,Correction
4851,Bonds,92,FOMO,388686,Correction
4852,Bonds,46,Loss Aversion,225527,Bull Run
4853,Real Estate,7,Calm,416413,Correction
4854,Stocks,24,Herd,359018,Sideways
4855,Bonds,57,Confirmation,208394,Bull Run
4856,Bonds,100,Calm,469765,Volatile
4857,Commodities,67,Confirmation,328486,Correction
4858,Stocks,33,Calm,490706,Volatile
4859,Commodities,25,Herd,416473,Bull Run
4860,Stocks,64,FOMO,401230,Correction
4861,Commodities,28,Herd,387405,Volatile
4862,Stocks,15,Confirmation,401651,Crash
4863,Gold,55,Panic,303926,Sideways
4864,Crypto,83,Herd,313276,Sideways
4865,Stocks,45,Herd,168278,Bull Run
4866,Bonds,95,Panic,148326,Bull Run
4867,Stocks,13,Calm,307994,Sideways
4868,Stocks,70,Herd,458490,Bull Run
4869,Stocks,27,FOMO,374435,Bull Run
4870,Gold,37,Loss Aversion,415577,Correction
4871,Crypto,29,Confirmation,272165,Bull Run
4872,Real Estate,1,Calm,471916,Volatile
4873,Gold,97,Herd,309548,Bull Run
4874,Stocks,92,Confirmation,314767,Bull Run
4875,Stocks,88,Loss Aversion,252440,Bull Run
4876,Bonds,5,Calm,490698,Volatile
4877,Real Estate,13,Herd,286745,Volatile
4878,Real Estate,50,Loss Aversion,16326,Sideways
4879,Bonds,14,Herd,49329,Correction
4880,Bonds,57,Panic,187124,Crash
4881,Bonds,34,FOMO,97826,Correction
4882,Commodities,49,Confirmation,244687,Bull Run
4883,Commodities,65,Panic,106978,Correction
4884,Crypto,75,Loss Aversion,97310,Crash
4885,Real Estate,76,Calm,121286,Sideways
4886,Bonds,31,Loss Aversion,454009,Sideways
4887,Bonds,69,Panic,381183,Correction
4888,Commodities,63,Herd,426931,Bull Run
4889,Stocks,92,Confirmation,251305,Bull Run
4890,Gold,65,Loss Aversion,45287,Correction
4891,Real Estate,53,Confirmation,94037,Crash
4892,Commodities,38,Panic,482264,Sideways
4893,Commodities,40,FOMO,130624,Bull Run
4894,Crypto,7,FOMO,406097,Correction
4895,Real Estate,27,Herd,429840,Volatile
4896,Real Estate,50,Calm,254936,Volatile
4897,Real Estate,3,Panic,418309,Bull Run
4898,Gold,75,Herd,191587,Correction
4899,Stocks,88,Herd,415172,Bull Run
4900,Stocks,79,Calm,76671,Sideways
4901,Bonds,47,FOMO,229599,Volatile
4902,Commodities,73,Herd,345934,Correction
4903,Stocks,80,FOMO,319679,Volatile
4904,Stocks,12,Panic,358005,Volatile
4905,Real Estate,63,Loss Aversion,14452,Crash
4906,Bonds,100,Calm,320856,Crash
4907,Bonds,87,Confirmation,106251,Bull Run
4908,Commodities,26,Calm,197131,Sideways
4909,Real Estate,22,Calm,350633,Bull Run
4910,Real Estate,33,FOMO,360578,Bull Run
4911,Real Estate,17,Herd,447570,Volatile
4912,Commodities,35,Calm,68186,Volatile
4913,Commodities,27,Confirmation,361387,Bull Run
4914,Bonds,47,Confirmation,453047,Volatile
4915,Commodities,69,Confirmation,115436,Bull Run
4916,Commodities,67,Loss Aversion,369084,Volatile
4917,Bonds,39,Herd,457947,Correction
4918,Gold,38,Herd,253750,Volatile
4919,Bonds,45,FOMO,209826,Bull Run
4920,Stocks,29,FOMO,373369,Sideways
4921,Stocks,61,FOMO,105888,Crash
4922,Real Estate,99,Loss Aversion,44783,Correction
4923,Stocks,73,Loss Aversion,237121,Bull Run
4924,Crypto,42,Herd,34458,Sideways
4925,Crypto,57,Calm,179912,Crash
4926,Crypto,12,FOMO,408269,Crash
4927,Bonds,49,Confirmation,410002,Crash
4928,Bonds,39,Loss Aversion,227915,Volatile
4929,Commodities,87,FOMO,291534,Volatile
4930,Stocks,43,Confirmation,299238,Crash
4931,Gold,94,FOMO,48856,Bull Run
4932,Crypto,18,FOMO,190080,Volatile
4933,Real Estate,92,Loss Aversion,293968,Bull Run
4934,Commodities,89,Loss Aversion,5141,Volatile
4935,Gold,64,Loss Aversion,133598,Correction
4936,Bonds,55,Panic,392263,Correction
4937,Bonds,60,Herd,323548,Crash
4938,Commodities,58,Panic,197731,Sideways
4939,Commodities,73,Calm,437168,Crash
4940,Stocks,50,FOMO,92553,Crash
4941,Commodities,7,Panic,395267,Crash
4942,Commodities,45,Panic,64446,Volatile
4943,Crypto,43,Calm,309046,Sideways
4944,Bonds,9,FOMO,208519,Volatile
4945,Stocks,24,Confirmation,128059,Correction
4946,Commodities,54,FOMO,433627,Volatile
4947,Stocks,66,Calm,153925,Correction
4948,Real Estate,73,Loss Aversion,63478,Sideways
4949,Gold,51,Panic,223561,Correction
4950,Crypto,17,Panic,302712,Volatile
4951,Real Estate,39,Herd,214901,Volatile
4952,Crypto,21,Herd,186020,Volatile
4953,Stocks,77,Calm,318544,Volatile
4954,Stocks,54,Herd,181183,Sideways
4955,Stocks,23,FOMO,154313,Crash
4956,Real Estate,63,Loss Aversion,251741,Sideways
4957,Gold,42,Panic,187508,Bull Run
4958,Stocks,50,Loss Aversion,49364,Volatile
4959,Gold,11,Confirmation,250430,Bull Run
4960,Stocks,75,Panic,211840,Sideways
4961,Real Estate,21,Loss Aversion,279396,Crash
4962,Crypto,36,Panic,304288,Sideways
4963,Bonds,43,Herd,410988,Volatile
4964,Commodities,2,Confirmation,98045,Volatile
4965,Gold,50,Confirmation,292940,Sideways
4966,Gold,19,Confirmation,202194,Bull Run
4967,Bonds,3,FOMO,455792,Sideways
4968,Real Estate,33,Calm,280069,Bull Run
4969,Bonds,96,Calm,172876,Crash
4970,Stocks,99,Herd,135991,Correction
4971,Real Estate,24,Herd,346814,Correction
4972,Stocks,99,Calm,322951,Volatile
4973,Real Estate,26,Confirmation,343573,Bull Run
4974,Stocks,97,Loss Aversion,11639,Sideways
4975,Bonds,86,Panic,93948,Volatile
4976,Crypto,46,Confirmation,102627,Bull Run
4977,Commodities,93,Loss Aversion,108201,Bull Run
4978,Commodities,63,Panic,226489,Crash
4979,Gold,72,Panic,20485,Correction
4980,Crypto,13,Herd,14323,Crash
4981,Gold,89,Calm,84224,Sideways
4982,Commodities,7,FOMO,103402,Bull Run
4983,Stocks,36,Confirmation,134150,Volatile
4984,Commodities,32,Confirmation,386924,Bull Run
4985,Gold,71,FOMO,269567,Bull Run
4986,Stocks,13,Loss Aversion,80112,Crash
4987,Stocks,45,Confirmation,329345,Sideways
4988,Bonds,95,FOMO,60112,Crash
4989,Real Estate,48,FOMO,406324,Volatile
4990,Crypto,7,Loss Aversion,87475,Correction
4991,Crypto,44,Calm,75131,Correction
4992,Commodities,92,Confirmation,361488,Sideways
4993,Real Estate,1,Panic,247853,Bull Run
4994,Real Estate,12,Calm,252267,Correction
4995,Real Estate,57,Panic,274327,Volatile
4996,Bonds,18,Confirmation,499673,Correction
4997,Crypto,79,Panic,291723,Crash
4998,Bonds,36,Panic,135061,Correction
4999,Commodities,61,Panic,384961,Bull Run
5000,Stocks,99,Panic,155625,Bull Run
5001,Crypto,48,Herd,399474,Crash
5002,Real Estate,44,Confirmation,340234,Correction
5003,Crypto,90,Loss Aversion,247808,Crash
5004,Crypto,24,Herd,360127,Sideways
5005,Bonds,19,Calm,333348,Bull Run
5006,Stocks,89,Herd,149772,Bull Run
5007,Stocks,73,FOMO,174308,Crash
5008,Bonds,84,Calm,123383,Sideways
5009,Real Estate,4,Calm,46802,Bull Run
5010,Gold,72,Loss Aversion,373806,Crash
5011,Bonds,3,Herd,414075,Crash
5012,Bonds,8,FOMO,39059,Correction
5013,Bonds,69,Confirmation,315469,Crash
5014,Crypto,9,Herd,298988,Sideways
5015,Crypto,39,Calm,392910,Volatile
5016,Gold,28,FOMO,49306,Bull Run
5017,Commodities,71,Loss Aversion,376871,Bull Run
5018,Crypto,66,Herd,109667,Crash
5019,Gold,21,Confirmation,27847,Bull Run
5020,Bonds,50,Herd,299420,Crash
5021,Crypto,68,FOMO,357749,Crash
5022,Stocks,91,FOMO,6081,Bull Run
5023,Real Estate,14,FOMO,90761,Correction
5024,Bonds,95,Panic,398613,Correction
5025,Gold,19,Herd,200193,Bull Run
5026,Real Estate,63,Loss Aversion,262210,Correction
5027,Gold,59,FOMO,298491,Bull Run
5028,Gold,39,FOMO,326540,Bull Run
5029,Crypto,30,Herd,421101,Bull Run
5030,Real Estate,39,Panic,363646,Correction
5031,Commodities,14,Loss Aversion,29678,Volatile
5032,Commodities,27,Herd,115671,Correction
5033,Stocks,70,Confirmation,209941,Volatile
5034,Bonds,43,Calm,198884,Correction
5035,Gold,43,Calm,350087,Sideways
5036,Commodities,72,Loss Aversion,394461,Volatile
5037,Commodities,15,Loss Aversion,52963,Correction
5038,Stocks,87,Confirmation,328294,Crash
5039,Real Estate,99,Loss Aversion,313076,Volatile
5040,Stocks,100,Confirmation,435762,Bull Run
5041,Commodities,25,FOMO,175137,Sideways
5042,Gold,53,Loss Aversion,235340,Volatile
5043,Gold,45,Panic,18701,Crash
5044,Gold,56,Panic,447168,Bull Run
5045,Real Estate,98,Loss Aversion,31084,Correction
5046,Commodities,84,Loss Aversion,487557,Crash
5047,Crypto,20,Panic,145542,Correction
5048,Stocks,89,Calm,164202,Sideways
5049,Real Estate,86,FOMO,295043,Crash
5050,Real Estate,28,Confirmation,394830,Sideways
5051,Commodities,41,FOMO,442582,Bull Run
5052,Commodities,99,Calm,452830,Correction
5053,Commodities,86,Calm,458335,Volatile
5054,Stocks,40,Herd,104696,Correction
5055,Real Estate,2,Confirmation,26900,Volatile
5056,Bonds,36,Panic,141297,Sideways
5057,Real Estate,21,Calm,418209,Volatile
5058,Real Estate,87,Panic,438094,Volatile
5059,Gold,8,Calm,412318,Bull Run
5060,Crypto,26,FOMO,137497,Sideways
5061,Bonds,70,Confirmation,347965,Crash
5062,Gold,92,FOMO,270642,Bull Run
5063,Commodities,23,Loss Aversion,213962,Correction
5064,Bonds,41,Confirmation,349570,Correction
5065,Commodities,27,Calm,144486,Bull Run
5066,Gold,7,Herd,224122,Crash
5067,Crypto,7,Calm,10460,Bull Run
5068,Gold,40,Herd,164643,Crash
5069,Crypto,79,Panic,100467,Bull Run
5070,Crypto,86,Herd,231490,Volatile
5071,Stocks,54,Herd,343268,Bull Run
5072,Real Estate,80,Herd,257041,Crash
5073,Bonds,43,FOMO,119129,Crash
5074,Gold,58,Confirmation,473405,Volatile
5075,Bonds,77,Loss Aversion,248425,Volatile
5076,Commodities,8,FOMO,478743,Sideways
5077,Crypto,17,Calm,318807,Correction
5078,Stocks,82,Confirmation,66854,Volatile
5079,Commodities,91,Confirmation,394630,Sideways
5080,Crypto,12,Calm,452157,Volatile
5081,Commodities,65,Confirmation,49971,Volatile
5082,Commodities,58,FOMO,178580,Volatile
5083,Crypto,92,Panic,487090,Bull Run
5084,Crypto,86,Loss Aversion,438335,Sideways
5085,Commodities,52,Loss Aversion,97112,Correction
5086,Gold,61,Calm,314264,Volatile
5087,Real Estate,78,FOMO,252770,Volatile
5088,Stocks,76,Confirmation,172761,Sideways
5089,Bonds,88,FOMO,245781,Correction
5090,Bonds,80,Herd,458615,Volatile
5091,Real Estate,53,FOMO,467601,Volatile
5092,Crypto,89,Calm,474348,Correction
5093,Bonds,76,Panic,115465,Bull Run
5094,Stocks,50,Calm,240104,Crash
5095,Bonds,21,Herd,146105,Bull Run
5096,Crypto,1,Confirmation,106226,Crash
5097,Commodities,64,Loss Aversion,275965,Correction
5098,Gold,53,Calm,29054,Volatile
5099,Gold,51,Calm,445058,Sideways
5100,Crypto,25,Loss Aversion,426723,Bull Run
5101,Stocks,74,Calm,154829,Volatile
5102,Stocks,29,Panic,160627,Volatile
5103,Gold,69,Calm,214393,Correction
5104,Gold,25,Loss Aversion,379982,Volatile
5105,Stocks,29,Loss Aversion,185615,Volatile
5106,Stocks,37,Confirmation,146236,Volatile
5107,Bonds,88,Panic,332338,Correction
5108,Commodities,22,Confirmation,475484,Sideways
5109,Stocks,72,Loss Aversion,146751,Crash
5110,Real Estate,67,FOMO,454388,Bull Run
5111,Bonds,88,Panic,226345,Crash
5112,Gold,34,Calm,177242,Crash
5113,Bonds,85,Calm,145835,Sideways
5114,Gold,27,FOMO,161097,Correction
5115,Bonds,74,Panic,218567,Sideways
5116,Real Estate,81,Calm,275326,Sideways
5117,Gold,8,Calm,157561,Crash
5118,Gold,67,Herd,441191,Volatile
5119,Stocks,85,Herd,478528,Volatile
5120,Real Estate,17,Herd,243635,Crash
5121,Bonds,78,FOMO,207618,Sideways
5122,Gold,57,Confirmation,391324,Volatile
5123,Real Estate,53,Confirmation,7382,Crash
5124,Stocks,10,FOMO,399783,Volatile
5125,Gold,90,Loss Aversion,477461,Correction
5126,Gold,34,Herd,183133,Bull Run
5127,Real Estate,90,Panic,182286,Sideways
5128,Crypto,15,FOMO,404090,Correction
5129,Stocks,10,Calm,181098,Volatile
5130,Commodities,63,Loss Aversion,412022,Correction
5131,Gold,19,FOMO,482858,Crash
5132,Crypto,33,Herd,255526,Correction
5133,Commodities,42,Confirmation,254124,Bull Run
5134,Stocks,98,Confirmation,491971,Volatile
5135,Stocks,83,Herd,353847,Sideways
5136,Gold,76,FOMO,318675,Crash
5137,Gold,61,Loss Aversion,218587,Crash
5138,Stocks,12,Panic,222583,Volatile
5139,Bonds,61,FOMO,160606,Bull Run
